Algerian,Baraka Cafe,,,,,,,,,,,,,,,,,,,,,,,,,
Asian American,Ward 4,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Ani Catering,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Jana Grill,,,,,,,,,,,,,,,,,,,,,,,,,
Australian,Seabiscuit,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,Bazaar-Bakery,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,Cafe St Petersburg ,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian/German,Trinktisch,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian ,Alma Gaucha,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian ,Muqueca,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,Chinatown Cafe,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,Great BBQ,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,Hong Kong Eatery,,,,,,,,,,,,,,,,,,,,,,,,,
Colombian,El Penol,,,,,,,,,,,,,,,,,,,,,,,,,
Colombian,Oasis,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican ,Guira y Tambora un Boston,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican ,El Merengue,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican ,Alex's Chimis,,,,,,,,,,,,,,,,,,,,,,,,,
English,Cornish Pasty,,,,,,,,,,,,,,,,,,,,,,,,,
English,Thwaites Market,,,,,,,,,,,,,,,,,,,,,,,,,
Filipino,Tanam,,,,,,,,,,,,,,,,,,,,,,,,,
French Canadian,Tap & Trotter,,,,,,,,,,,,,,,,,,,,,,,,,
French Canadian,Turenne,,,,,,,,,,,,,,,,,,,,,,,,,
French Canadian,Walnut Market,,,,,,,,,,,,,,,,,,,,,,,,,
German,Bronwyn,,,,,,,,,,,,,,,,,,,,,,,,,
German,Munich Haus,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,GreCo,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Zo,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Desfina,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,Kava,,,,,,,,,,,,,,,,,,,,,,,,,
Haitian,Sunrise Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,Bazarchi Biryanis,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,Mint,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,Godavari,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,Madras Dosa Company,,,,,,,,,,,,,,,,,,,,,,,,,
